키워드유형,하위범주,키워드,설명
맥락,장소/공간,학교,디자인 사용 장소
맥락,장소/공간,캠퍼스,디자인 사용 장소
맥락,장소/공간,교실,디자인 사용 장소
맥락,장소/공간,강의실,디자인 사용 장소
맥락,장소/공간,건물,디자인 사용 장소
맥락,장소/공간,도서관,디자인 사용 장소
맥락,장소/공간,기숙사,디자인 사용 장소
맥락,장소/공간,화장실,디자인 사용 장소
맥락,장소/공간,세면대,디자인 사용 장소
맥락,장소/공간,복도,디자인 사용 장소
맥락,장소/공간,로비,디자인 사용 장소
맥락,장소/공간,엘리베이터,디자인 사용 장소
맥락,장소/공간,계단,디자인 사용 장소
맥락,장소/공간,출입구,디자인 사용 장소
맥락,장소/공간,입구,디자인 사용 장소
맥락,장소/공간,출구,디자인 사용 장소
맥락,장소/공간,야외,디자인 사용 장소
맥락,장소/공간,실내,디자인 사용 장소
맥락,장소/공간,거리,디자인 사용 장소
맥락,장소/공간,공간,디자인 사용 장소
맥락,환경/분위기,환경,추상적 환경 요소
맥락,환경/분위기,분위기,추상적 환경 요소
맥락,환경/분위기,조명,추상적 환경 요소
맥락,환경/분위기,배경,추상적 환경 요소
맥락,환경/분위기,상황,추상적 환경 요소
맥락,환경/분위기,장면,추상적 환경 요소
맥락,활동/행위,이동,사용자 활동·행동 맥락
맥락,활동/행위,동선,사용자 활동·행동 맥락
맥락,활동/행위,대기,사용자 활동·행동 맥락
맥락,활동/행위,혼잡,사용자 활동·행동 맥락
맥락,활동/행위,방문,사용자 활동·행동 맥락
맥락,활동/행위,수업,사용자 활동·행동 맥락
맥락,활동/행위,공부,사용자 활동·행동 맥락
맥락,활동/행위,충전,사용자 활동·행동 맥락
맥락,활동/행위,일상,사용자 활동·행동 맥락
맥락,활동/행위,생활,사용자 활동·행동 맥락
맥락,사용맥락/문제상황,사용,사용성·문제 맥락
맥락,사용맥락/문제상황,이용,사용성·문제 맥락
맥락,사용맥락/문제상황,편의,사용성·문제 맥락
맥락,사용맥락/문제상황,불편,사용성·문제 맥락
맥락,사용맥락/문제상황,문제,사용성·문제 맥락
맥락,사용맥락/문제상황,개선,사용성·문제 맥락
객체,디자인 제품,멀티탭,디자인 산출물·제품
객체,디자인 제품,콘센트,디자인 산출물·제품
객체,디자인 제품,키오스크,디자인 산출물·제품
객체,디자인 제품,터치패드,디자인 산출물·제품
객체,디자인 제품,비누,디자인 산출물·제품
객체,디자인 제품,디스펜서,디자인 산출물·제품
객체,디자인 제품,컵,디자인 산출물·제품
객체,디자인 제품,홀더,디자인 산출물·제품
객체,디자인 제품,스탠드,디자인 산출물·제품
객체,디자인 제품,제품,디자인 산출물·제품
객체,디자인 제품,기기,디자인 산출물·제품
객체,디자인 제품,장치,디자인 산출물·제품
객체,디지털/인터페이스,스크린,디지털 구성요소
객체,디지털/인터페이스,디스플레이,디지털 구성요소
객체,디지털/인터페이스,앱,디지털 구성요소
객체,디지털/인터페이스,어플,디지털 구성요소
객체,디지털/인터페이스,모바일,디지털 구성요소
객체,디지털/인터페이스,휴대폰,디지털 구성요소
객체,디지털/인터페이스,스마트폰,디지털 구성요소
객체,디지털/인터페이스,버튼,디지털 구성요소
객체,디지털/인터페이스,화면,디지털 구성요소
객체,디지털/인터페이스,인터페이스,디지털 구성요소
객체,디지털/인터페이스,아이콘,디지털 구성요소
객체,물리적 구성요소,패널,물리적 부품·구조
객체,물리적 구성요소,표지판,물리적 부품·구조
객체,물리적 구성요소,사인,물리적 부품·구조
객체,물리적 구성요소,레일,물리적 부품·구조
객체,물리적 구성요소,천장,물리적 부품·구조
객체,물리적 구성요소,벽걸이,물리적 부품·구조
객체,물리적 구성요소,센서,물리적 부품·구조
객체,물리적 구성요소,카메라,물리적 부품·구조
객체,정보/콘텐츠,지도,정보 표현 수단
객체,정보/콘텐츠,맵,정보 표현 수단
객체,정보/콘텐츠,마스코트,정보 표현 수단
객체,정보/콘텐츠,캐릭터,정보 표현 수단
객체,디자인 속성,외형,디자인 형태·속성
객체,디자인 속성,형태,디자인 형태·속성
객체,디자인 속성,디자인,디자인 형태·속성
객체,디자인 속성,기능,디자인 형태·속성
객체,시스템/서비스,시스템,시스템·서비스 단위
객체,시스템/서비스,서비스,시스템·서비스 단위
객체,시스템/서비스,플랫폼,시스템·서비스 단위
객체,시각적 표현,스케치,시각적 출력 형식
객체,시각적 표현,이미지,시각적 출력 형식
객체,시각적 표현,목업,시각적 출력 형식
객체,시각적 표현,렌더링,시각적 출력 형식
객체,시각적 표현,도면,시각적 출력 형식
